Book, Chapter, Verse, Context, Text, Translation
John, 14, 9, "John asks Jesus for Him to show them (the deciples) the father.", "Jesus replied, “Have I been with you all this time, Philip, and yet you still don’t know who I am? Anyone who has seen me has seen the Father! So why are you asking me to show him to you?", NLT, "Jesus is God"
John, 17, 5, "Now, Father, glorify Me together with Yourself, with the glory which I had with You before the world was.", "Jesus, after finishing His works here on earth tells His disciples about His coming death and resurrection. Then, he looks to heaven and speaks to God.", NAS, "Jesus is God"

